tpep_pickup_datetime,tpep_dropoff_datetime,trip_distance,fare_amount,pickup_zip,dropoff_zip
2016-02-04 20:37:53,2016-02-04 20:45:54,1.58,7.5,10154,10044
2016-02-08 21:33:29,2016-02-08 21:36:41,0.61,4.5,10110,10110
2016-02-20 19:28:12,2016-02-20 20:08:33,19.6,54.5,11422,11238
2016-02-21 08:58:53,2016-02-21 09:02:28,0.7,4.5,10025,10162
2016-02-19 06:07:22,2016-02-19 06:21:17,3.7,13.5,10005,10110
2016-02-04 12:38:32,2016-02-04 12:52:10,1.2,10.0,10199,10011
2016-02-24 19:22:35,2016-02-24 19:47:34,3.7,17.5,10028,10003
2016-02-10 23:32:23,2016-02-10 23:51:48,5.84,19.0,10002,10023
2016-02-26 23:32:21,2016-02-26 23:44:11,1.83,10.0,10002,10014
2016-02-26 11:26:02,2016-02-26 12:11:00,11.3,40.0,10001,11371
2016-02-04 11:19:49,2016-02-04 11:26:48,0.83,6.0,10022,10065
2016-02-24 02:43:55,2016-02-24 02:56:32,6.4,19.5,10002,10029
2016-02-25 09:08:28,2016-02-25 09:39:37,3.14,19.5,10007,10020
2016-02-23 06:56:26,2016-02-23 07:00:30,0.8,5.0,10014,10199
2016-02-04 20:04:14,2016-02-04 20:20:34,2.44,12.5,10154,10069
2016-02-11 08:13:16,2016-02-11 08:18:27,0.7,5.5,10003,10012
2016-02-15 08:51:02,2016-02-15 09:06:27,5.5,17.0,11371,11379
2016-02-28 12:44:47,2016-02-28 12:53:11,1.6,8.0,10001,10012
2016-02-02 18:48:41,2016-02-02 18:54:10,0.8,5.5,10009,10002
2016-02-06 10:20:59,2016-02-06 10:27:31,2.1,8.5,10012,10282
2016-02-03 08:52:58,2016-02-03 09:02:28,1.22,8.0,10003,10011
2016-02-29 11:26:39,2016-02-29 11:31:11,0.6,5.0,10023,10069
2016-02-09 19:47:42,2016-02-09 19:52:56,1.6,7.0,10018,10069
2016-02-14 19:32:02,2016-02-14 19:43:28,0.6,8.5,10017,10001
2016-02-23 21:35:43,2016-02-23 21:41:15,1.04,6.0,10001,10167
2016-02-03 19:15:04,2016-02-03 19:40:34,4.7,20.0,10280,10119
2016-02-26 19:26:48,2016-02-26 19:40:52,2.95,12.0,10001,10021
2016-02-21 04:40:46,2016-02-21 04:51:49,3.06,12.0,10012,10022
2016-02-20 19:38:37,2016-02-20 20:21:57,7.3,33.0,11205,10028
2016-02-28 00:03:46,2016-02-28 00:28:18,10.66,31.5,11422,11221
2016-02-10 06:10:57,2016-02-10 06:18:49,1.6,7.5,10271,10012
2016-02-11 15:26:49,2016-02-11 15:36:21,1.0,7.5,10028,10044
2016-02-15 23:03:19,2016-02-15 23:38:15,11.4,35.0,11371,10011
2016-02-08 22:15:15,2016-02-08 22:31:32,5.5,18.5,10110,10271
2016-02-05 10:33:55,2016-02-05 10:46:58,1.14,9.5,10017,10119
2016-02-09 15:31:27,2016-02-09 15:40:16,1.18,8.0,10026,10025
2016-02-15 16:41:54,2016-02-15 17:38:20,18.43,52.0,11422,10011
2016-02-18 14:25:28,2016-02-18 14:49:35,2.22,15.5,10012,10110
2016-02-11 08:21:31,2016-02-11 08:33:31,2.16,10.0,10119,10012
2016-02-16 16:18:30,2016-02-16 16:25:13,1.1,7.0,10028,10021
2016-02-07 12:51:00,2016-02-07 12:56:13,1.0,6.0,10021,10103
2016-02-19 23:28:05,2016-02-19 23:32:16,1.3,5.5,10065,10028
2016-02-02 09:45:45,2016-02-02 10:02:27,2.9,14.0,10028,10111
2016-02-14 00:17:38,2016-02-14 00:42:58,6.7,23.0,10001,11206
2016-02-09 23:18:47,2016-02-09 23:30:26,2.7,10.5,10022,10012
2016-02-24 23:34:24,2016-02-24 23:36:45,0.66,4.0,10001,10020
2016-02-19 14:04:06,2016-02-19 15:02:15,8.9,40.5,11371,10020
2016-02-02 23:43:35,2016-02-02 23:54:47,3.5,12.5,10027,10018
2016-02-20 00:19:22,2016-02-20 00:32:02,2.7,12.0,10153,10011
2016-02-08 19:51:14,2016-02-08 20:12:15,8.1,25.0,10022,11231
2016-02-09 08:11:51,2016-02-09 08:19:24,1.2,6.5,10021,10028
2016-02-22 12:41:45,2016-02-22 13:04:15,8.84,28.0,11371,10017
2016-02-27 09:10:54,2016-02-27 09:18:37,1.5,7.5,10018,10001
2016-02-18 18:50:47,2016-02-18 19:04:38,2.5,11.5,10025,10019
2016-02-04 23:32:27,2016-02-04 23:38:56,1.2,7.0,10069,10103
2016-02-19 16:36:32,2016-02-19 17:02:46,3.2,17.0,10019,10011
2016-02-20 09:12:00,2016-02-20 09:21:14,2.76,10.0,10001,10012
2016-02-03 19:42:07,2016-02-03 20:03:06,4.5,17.5,10037,10018
2016-02-27 15:55:25,2016-02-27 16:13:48,3.18,13.5,10021,10001
2016-02-28 09:31:26,2016-02-28 09:50:15,3.72,15.5,10003,10019
2016-02-21 14:15:34,2016-02-21 14:22:47,1.37,7.0,10153,10001
2016-02-22 19:51:36,2016-02-22 20:01:34,1.53,9.0,10025,10023
2016-02-09 12:44:13,2016-02-09 12:51:39,0.96,6.5,10017,10017
2016-02-23 22:19:42,2016-02-23 22:53:08,6.9,26.0,10065,10005
2016-02-21 17:53:48,2016-02-21 18:17:19,1.22,14.5,10020,10119
2016-02-17 10:08:13,2016-02-17 10:23:00,1.8,11.0,10003,10001
2016-02-29 22:19:22,2016-02-29 22:29:32,2.85,10.5,10110,10044
2016-02-27 22:28:16,2016-02-27 22:40:34,1.35,9.0,10003,10011
2016-02-29 15:17:45,2016-02-29 15:22:44,0.56,5.0,10022,10153
2016-02-25 22:22:42,2016-02-25 22:29:50,1.02,7.0,10017,10199
2016-02-23 13:14:30,2016-02-23 13:31:39,4.2,16.5,10018,10282
2016-02-02 07:47:07,2016-02-02 08:07:59,1.8,13.5,10103,10021
2016-02-19 11:40:22,2016-02-19 11:45:05,0.6,5.0,10023,10019
2016-02-12 22:11:37,2016-02-12 22:17:19,0.82,5.5,10018,10103
2016-02-27 12:30:53,2016-02-27 12:52:26,3.1,15.5,10021,10001
2016-02-23 07:09:03,2016-02-23 07:30:13,3.2,16.0,10026,10023
2016-02-08 09:19:38,2016-02-08 09:32:23,1.7,10.0,10167,10003
2016-02-11 22:42:46,2016-02-11 23:00:30,2.4,13.0,10022,10003
2016-02-04 08:57:05,2016-02-04 09:17:13,2.35,14.0,10013,10001
2016-02-29 17:42:51,2016-02-29 17:53:07,1.9,9.5,10014,10012
2016-02-20 21:46:14,2016-02-20 21:53:29,1.93,8.0,11102,11106
2016-02-18 14:54:29,2016-02-18 14:57:12,0.39,4.0,10028,10028
2016-02-24 20:32:55,2016-02-24 20:36:31,0.78,5.0,10022,10110
2016-02-19 07:57:23,2016-02-19 08:01:14,0.48,4.5,10021,10021
2016-02-19 21:51:40,2016-02-19 22:05:01,6.78,20.0,10069,10034
2016-02-07 10:28:15,2016-02-07 10:41:23,3.07,12.5,10023,10023
2016-02-28 13:48:59,2016-02-28 14:19:36,15.5,52.0,10017,11422
2016-02-13 04:06:33,2016-02-13 04:40:07,16.7,48.5,10014,11235
2016-02-05 11:38:37,2016-02-05 11:52:21,1.7,10.0,10199,10001
2016-02-02 20:54:08,2016-02-02 21:39:17,10.7,42.0,10017,11354
2016-02-10 11:08:50,2016-02-10 11:27:54,2.42,13.5,10023,10065
2016-02-16 11:21:39,2016-02-16 11:34:34,1.97,10.0,10003,10199
2016-02-14 21:59:53,2016-02-14 22:05:42,1.7,7.0,10069,10021
2016-02-02 10:30:08,2016-02-02 10:37:17,0.8,6.5,10021,10153
2016-02-09 23:21:01,2016-02-09 23:29:32,1.89,8.5,10001,10002
2016-02-22 18:09:37,2016-02-22 18:22:09,1.6,9.5,10009,10014
2016-02-05 08:37:01,2016-02-05 08:54:56,2.1,13.0,10153,10199
2016-02-17 21:28:58,2016-02-17 21:32:40,0.91,5.0,10119,10011
2016-02-26 09:49:56,2016-02-26 09:57:53,0.92,7.0,10028,10021
2016-02-18 13:20:56,2016-02-18 13:47:36,6.4,23.0,10019,7311
2016-02-19 20:54:47,2016-02-19 21:06:08,2.1,10.0,10021,10019
2016-02-10 11:05:23,2016-02-10 11:15:35,1.0,8.0,10065,10021
2016-02-26 08:04:52,2016-02-26 08:09:29,0.87,5.5,10011,10012
2016-02-15 12:44:51,2016-02-15 13:07:39,3.48,16.5,10011,10022
2016-02-06 15:53:10,2016-02-06 16:24:38,10.98,34.0,11371,10020
2016-02-02 21:57:21,2016-02-02 22:06:06,2.4,9.5,10027,10023
2016-02-26 07:26:11,2016-02-26 07:28:19,0.5,4.0,10103,10153
2016-02-26 21:44:47,2016-02-26 21:48:03,0.47,4.0,10065,10065
2016-02-28 11:29:19,2016-02-28 11:43:53,4.3,15.5,10017,11102
2016-02-13 14:35:52,2016-02-13 15:01:36,3.33,17.5,10171,10012
2016-02-26 20:00:20,2016-02-26 20:18:23,2.44,13.0,10018,10012
2016-02-24 17:22:19,2016-02-24 17:27:57,0.8,5.5,10003,10012
2016-02-22 10:05:20,2016-02-22 10:15:27,1.2,8.0,10065,10022
2016-02-18 18:59:49,2016-02-18 19:23:56,4.2,18.0,10012,10021
2016-02-08 12:25:08,2016-02-08 12:32:01,0.7,6.0,10009,10009
2016-02-20 02:38:36,2016-02-20 02:48:05,2.1,9.0,10018,10012
2016-02-12 19:39:15,2016-02-12 19:50:33,1.7,9.5,10018,10023
2016-02-08 14:13:18,2016-02-08 14:20:37,0.79,6.5,10014,10011
2016-02-27 16:16:09,2016-02-27 16:20:50,0.8,5.5,10065,10021
2016-02-17 10:48:24,2016-02-17 10:59:54,1.1,8.5,10011,10110
2016-02-23 13:36:25,2016-02-23 13:52:56,1.8,11.0,10199,10112
2016-02-17 21:20:30,2016-02-17 21:31:53,2.46,10.5,10001,10023
2016-02-03 20:41:14,2016-02-03 20:50:14,0.9,7.0,10018,10199
2016-02-26 15:36:49,2016-02-26 15:55:01,4.2,16.5,10162,10014
2016-02-12 06:48:39,2016-02-12 06:52:16,1.0,5.0,10167,10001
2016-02-26 14:59:09,2016-02-26 15:06:28,1.47,7.0,10012,10011
2016-02-24 12:57:31,2016-02-24 13:05:01,0.65,6.5,10003,10011
2016-02-17 17:51:26,2016-02-17 18:05:43,1.05,9.5,10065,10111
2016-02-19 20:14:38,2016-02-19 20:27:56,1.5,9.5,10001,10022
2016-02-08 00:22:44,2016-02-08 00:36:43,6.7,20.5,10020,10032
2016-02-18 17:53:46,2016-02-18 17:55:28,0.48,3.5,10065,10021
2016-02-22 17:43:07,2016-02-22 17:48:10,0.4,5.0,10119,10018
2016-02-12 12:20:58,2016-02-12 12:28:23,1.0,6.5,10001,10017
2016-02-03 06:12:32,2016-02-03 06:17:43,0.8,5.5,10018,10110
2016-02-07 00:15:49,2016-02-07 00:26:07,0.58,7.5,10003,10003
2016-02-17 13:57:23,2016-02-17 14:04:25,0.44,6.0,10023,10023
2016-02-19 19:43:45,2016-02-19 19:49:52,1.25,6.5,10162,10023
2016-02-13 18:53:38,2016-02-13 18:56:51,0.8,5.0,10029,10028
2016-02-01 13:24:20,2016-02-01 13:34:19,1.0,8.0,10012,10278
2016-02-04 12:15:39,2016-02-04 12:42:54,1.86,16.5,10003,10110
2016-02-09 17:30:21,2016-02-09 17:32:14,0.5,3.5,10011,10119
2016-02-14 00:02:40,2016-02-14 00:19:11,3.36,14.0,10032,10025
2016-02-19 06:54:48,2016-02-19 06:57:51,0.6,4.5,10001,10009
2016-02-11 08:20:40,2016-02-11 08:25:51,0.72,5.5,10282,10013
2016-02-06 12:19:53,2016-02-06 12:24:22,0.7,5.0,10021,10065
2016-02-26 06:34:14,2016-02-26 06:39:21,1.1,6.0,10119,10110
2016-02-02 00:17:01,2016-02-02 00:20:31,0.69,4.5,10001,10011
2016-02-03 22:23:24,2016-02-03 22:36:45,1.8,10.0,10018,10011
2016-02-27 09:17:58,2016-02-27 09:28:01,2.22,9.5,10022,10028
2016-02-06 14:26:07,2016-02-06 14:29:35,0.7,5.0,10023,10023
2016-02-24 15:07:03,2016-02-24 15:11:13,0.61,5.0,10018,10018
2016-02-24 07:15:56,2016-02-24 07:57:07,17.28,52.0,10167,11422
2016-02-26 19:03:25,2016-02-26 19:15:49,2.31,11.0,10020,10044
2016-02-03 21:35:45,2016-02-03 21:44:49,1.81,8.5,10023,10022
2016-02-10 02:04:27,2016-02-10 02:22:17,10.3,29.0,10002,10039
2016-02-04 09:21:47,2016-02-04 09:32:19,0.8,8.0,10018,10110
2016-02-23 10:44:17,2016-02-23 10:59:31,3.72,14.0,10009,10005
2016-02-14 11:57:33,2016-02-14 12:07:43,1.6,8.5,10119,10003
2016-02-24 17:22:58,2016-02-24 17:30:34,0.5,6.0,10001,10110
2016-02-28 01:44:21,2016-02-28 02:02:52,2.3,13.0,10003,10003
2016-02-15 14:47:58,2016-02-15 14:53:02,0.77,5.0,10103,10022
2016-02-26 07:16:26,2016-02-26 07:24:10,1.2,7.0,10119,10017
2016-02-20 12:35:24,2016-02-20 12:58:46,3.4,17.0,10028,10020
2016-02-26 14:30:04,2016-02-26 14:37:07,0.66,6.0,10110,10171
2016-02-21 20:01:05,2016-02-21 20:21:44,4.3,16.5,10005,11215
2016-02-15 11:10:38,2016-02-15 11:41:07,18.0,52.0,10020,11422
2016-02-06 23:29:59,2016-02-06 23:47:32,3.8,15.0,10003,10044
2016-02-27 23:54:24,2016-02-27 23:54:27,0.0,2.5,10167,10167
2016-02-18 00:55:39,2016-02-18 01:13:35,5.1,17.5,11102,11206
2016-02-25 09:35:15,2016-02-25 09:40:45,0.8,5.5,10017,10154
2016-02-08 09:13:07,2016-02-08 09:20:54,1.99,8.5,10017,11109
2016-02-01 00:15:47,2016-02-01 00:19:28,1.12,5.5,10020,10001
2016-02-15 18:55:40,2016-02-15 19:03:22,1.09,7.0,10011,10012
2016-02-28 12:03:17,2016-02-28 12:19:34,3.64,14.5,10018,10012
2016-02-20 15:56:51,2016-02-20 16:00:35,0.5,4.5,10111,10111
2016-02-17 14:51:45,2016-02-17 15:12:10,2.7,14.5,10001,10012
2016-02-23 14:38:52,2016-02-23 14:47:04,1.89,8.0,11104,11106
2016-02-14 16:48:20,2016-02-14 16:52:05,0.6,4.5,10044,10021
2016-02-22 20:37:13,2016-02-22 20:55:58,3.8,15.5,10019,10009
2016-02-08 22:13:39,2016-02-08 22:37:18,5.7,20.5,10065,11372
2016-02-10 23:50:14,2016-02-10 23:57:08,1.05,6.5,10020,10017
2016-02-10 09:18:31,2016-02-10 09:24:11,0.83,6.0,10023,10023
2016-02-27 17:35:29,2016-02-27 17:47:15,1.69,9.5,10011,10002
2016-02-10 13:47:34,2016-02-10 14:14:23,3.32,18.5,10012,10022
2016-02-24 00:05:47,2016-02-24 00:23:23,7.5,23.0,10009,10455
2016-02-16 13:38:02,2016-02-16 13:49:46,2.27,10.0,10153,10162
2016-02-08 18:37:39,2016-02-08 19:01:07,4.93,19.5,10271,10020
2016-02-10 16:08:50,2016-02-10 16:24:57,5.0,17.5,11217,10009
2016-02-26 21:13:14,2016-02-26 21:17:21,0.8,5.5,10023,10021
2016-02-10 20:36:59,2016-02-10 20:47:23,2.6,10.5,10103,10028
2016-02-06 11:50:13,2016-02-06 11:56:48,1.0,6.5,10021,10153
2016-02-23 09:40:34,2016-02-23 09:43:57,0.46,4.5,10171,10022
2016-02-02 10:48:01,2016-02-02 11:02:30,2.31,11.5,10018,10023
2016-02-05 21:12:40,2016-02-05 21:15:59,0.5,4.5,10280,10280
2016-02-11 14:31:01,2016-02-11 14:40:19,1.38,8.0,10018,10111
2016-02-22 20:06:41,2016-02-22 20:11:15,0.44,5.0,10011,10012
2016-02-08 07:54:06,2016-02-08 08:00:34,0.95,6.5,10001,10110
2016-02-17 08:24:27,2016-02-17 08:48:27,3.4,17.0,10044,10199
2016-02-23 18:39:32,2016-02-23 18:55:56,2.1,11.5,10103,10017
2016-02-22 10:26:26,2016-02-22 10:59:48,17.75,52.0,11422,10110
2016-02-12 20:52:33,2016-02-12 20:57:24,1.0,6.0,10065,10044
2016-02-20 03:12:57,2016-02-20 03:24:36,2.32,10.5,11238,11206
2016-02-09 08:31:03,2016-02-09 08:50:10,6.7,21.5,10119,10027
2016-02-04 18:55:29,2016-02-04 19:05:24,0.87,7.5,10110,10110
2016-02-02 16:36:17,2016-02-02 16:48:39,2.1,10.0,10017,10011
2016-02-16 11:18:27,2016-02-16 11:30:27,1.46,9.5,10017,10020
2016-02-04 09:55:45,2016-02-04 10:28:15,4.06,21.0,10012,10021
2016-02-18 08:37:06,2016-02-18 08:53:06,5.57,19.0,10016,10282
2016-02-28 05:23:13,2016-02-28 05:28:19,1.71,7.0,10019,10199
2016-02-21 10:06:28,2016-02-21 10:10:26,0.61,5.0,10016,10110
2016-02-20 12:17:31,2016-02-20 12:33:33,3.1,13.5,10028,10001
2016-02-24 12:38:31,2016-02-24 12:51:30,1.62,9.5,10167,10021
2016-02-02 16:49:33,2016-02-02 16:54:08,0.7,5.0,10017,10001
2016-02-27 12:29:11,2016-02-27 12:34:55,0.94,6.0,10021,10065
2016-02-27 03:25:12,2016-02-27 03:33:17,1.5,7.5,10014,10003
2016-02-12 18:06:58,2016-02-12 18:25:58,3.2,14.5,11217,11221
2016-02-24 16:11:08,2016-02-24 16:36:02,4.22,18.5,10167,10025
2016-02-21 03:57:36,2016-02-21 04:13:17,4.11,15.0,10012,10021
2016-02-26 09:48:55,2016-02-26 09:53:08,0.71,5.0,10119,10199
2016-02-16 07:01:58,2016-02-16 07:52:30,13.9,44.0,11422,11377
2016-02-15 11:03:09,2016-02-15 11:10:17,0.4,6.0,10065,10065
2016-02-11 21:18:05,2016-02-11 21:47:08,6.1,24.0,10003,11237
2016-02-05 18:35:00,2016-02-05 18:44:26,1.82,8.5,10003,10171
2016-02-12 08:33:16,2016-02-12 08:36:19,0.38,4.0,10153,10065
2016-02-28 04:52:55,2016-02-28 05:11:12,7.0,23.0,10012,11377
2016-02-12 18:10:15,2016-02-12 18:16:15,1.3,7.0,10023,10025
2016-02-09 16:56:23,2016-02-09 17:03:40,0.98,6.5,10153,10021
2016-02-10 17:00:54,2016-02-10 17:13:29,2.16,10.5,10020,10023
2016-02-21 14:52:56,2016-02-21 14:56:45,0.5,4.5,10023,10023
2016-02-25 15:26:44,2016-02-25 15:34:50,0.89,7.0,10065,10022
2016-02-14 02:55:36,2016-02-14 03:00:17,1.21,6.0,10001,10020
2016-02-07 04:11:40,2016-02-07 04:18:52,2.16,9.0,10002,11211
2016-02-15 12:56:01,2016-02-15 13:09:01,1.45,9.5,10018,10022
2016-02-09 05:41:25,2016-02-09 05:44:49,1.4,6.0,10020,10011
2016-02-13 12:14:12,2016-02-13 12:39:04,4.3,19.0,10009,10023
2016-02-18 12:19:26,2016-02-18 12:32:39,1.1,9.5,10017,10119
2016-02-15 14:09:12,2016-02-15 14:14:56,0.9,6.0,10018,10199
2016-02-11 21:52:54,2016-02-11 22:03:00,1.9,9.0,10005,10012
2016-02-13 16:16:19,2016-02-13 16:23:20,1.63,8.0,10023,10025
2016-02-19 00:50:17,2016-02-19 01:06:51,6.59,21.5,10001,10037
2016-02-07 01:24:25,2016-02-07 01:28:51,1.03,5.5,10017,10022
2016-02-12 16:17:50,2016-02-12 16:26:27,1.03,7.5,10103,10019
2016-02-02 22:01:09,2016-02-02 22:21:43,11.15,31.5,11371,10020
2016-02-06 04:57:04,2016-02-06 05:01:53,1.3,6.0,10199,10019
2016-02-27 15:13:36,2016-02-27 15:21:59,1.67,8.0,10119,10153
2016-02-27 08:37:19,2016-02-27 08:48:49,2.79,11.0,10017,10023
2016-02-17 09:11:02,2016-02-17 09:21:19,1.17,8.0,10119,10001
2016-02-17 18:27:04,2016-02-17 19:05:01,11.6,35.5,11422,11221
2016-02-11 09:35:51,2016-02-11 10:11:07,6.3,28.0,10018,10005
2016-02-25 09:53:47,2016-02-25 10:07:09,1.92,10.5,10282,10002
2016-02-23 19:39:09,2016-02-23 20:17:54,18.07,52.0,11422,10154
2016-02-14 15:39:42,2016-02-14 15:49:50,0.94,8.0,10022,10019
2016-02-20 18:29:28,2016-02-20 18:51:32,2.85,15.5,10199,10013
2016-02-12 23:27:20,2016-02-12 23:29:58,0.7,4.5,10019,10020
2016-02-29 18:51:04,2016-02-29 19:03:02,3.3,12.5,10167,10002
2016-02-18 06:06:20,2016-02-18 06:16:18,3.1,12.0,10025,10153
2016-02-07 19:02:36,2016-02-07 19:11:21,1.69,8.5,10001,10014
2016-02-27 00:25:39,2016-02-27 00:37:21,2.43,10.0,10018,10014
2016-02-15 20:21:44,2016-02-15 20:23:59,0.5,3.5,10028,10028
2016-02-03 14:20:14,2016-02-03 14:24:50,0.84,5.0,10001,10167
2016-02-07 16:46:08,2016-02-07 16:55:08,1.1,7.5,10119,10017
2016-02-21 09:18:36,2016-02-21 09:23:32,1.2,6.5,10028,10162
2016-02-22 15:35:06,2016-02-22 15:48:16,2.3,11.5,10199,10013
2016-02-24 15:20:16,2016-02-24 15:26:11,0.68,5.5,10001,10119
2016-02-18 09:13:35,2016-02-18 09:26:35,1.2,9.0,10065,10167
2016-02-11 08:39:06,2016-02-11 08:58:36,3.7,16.5,10199,10280
2016-02-05 12:36:49,2016-02-05 12:42:39,1.0,6.0,10011,10001
2016-02-23 15:22:35,2016-02-23 15:32:34,0.9,7.5,10110,10001
2016-02-25 09:43:51,2016-02-25 09:48:43,0.59,5.0,10022,10167
2016-02-02 12:01:21,2016-02-02 12:22:52,2.65,15.0,10001,10019
2016-02-03 18:53:28,2016-02-03 19:04:55,2.0,9.5,10044,10029
2016-02-19 20:48:23,2016-02-19 21:10:11,4.75,18.0,10005,11238
2016-02-11 20:03:44,2016-02-11 20:25:44,4.58,18.5,10110,10044
2016-02-29 13:04:27,2016-02-29 13:09:48,0.66,5.0,10001,10016
2016-02-22 07:43:10,2016-02-22 07:48:52,0.8,5.5,10065,10103
2016-02-11 21:01:32,2016-02-11 21:19:53,4.33,16.0,10012,11215
2016-02-13 23:25:17,2016-02-13 23:29:01,0.7,4.5,10019,10103
2016-02-01 18:15:51,2016-02-01 18:26:21,1.0,8.5,10103,10020
2016-02-15 13:26:35,2016-02-15 13:36:25,1.2,8.0,10001,10020
2016-02-27 00:58:00,2016-02-27 01:02:56,1.26,6.0,11220,10011
2016-02-10 17:49:52,2016-02-10 17:56:20,1.11,6.0,11201,11205
2016-02-24 16:01:23,2016-02-24 16:21:26,2.4,13.0,10028,10110
2016-02-09 21:04:08,2016-02-09 21:26:10,9.3,29.0,10282,10028
2016-02-06 01:17:43,2016-02-06 01:29:03,1.09,8.5,10003,10011
2016-02-08 05:43:01,2016-02-08 05:48:42,1.83,7.5,10023,10167
2016-02-02 21:01:59,2016-02-02 21:11:12,1.2,7.5,10103,10018
2016-02-14 21:12:26,2016-02-14 21:25:21,2.1,10.5,10001,10002
2016-02-10 11:08:41,2016-02-10 11:23:02,1.9,10.5,10153,10029
2016-02-10 19:54:50,2016-02-10 20:22:07,16.95,52.0,11422,10001
2016-02-11 01:17:23,2016-02-11 01:30:39,3.89,13.5,10022,11103
2016-02-08 11:19:31,2016-02-08 11:26:55,1.2,7.0,10028,10044
2016-02-01 20:15:02,2016-02-01 20:29:02,2.9,12.0,10016,10028
2016-02-10 05:20:52,2016-02-10 05:25:14,0.7,5.0,10017,10110
2016-02-10 12:49:36,2016-02-10 13:01:43,1.7,9.5,10110,10021
2016-02-18 03:30:20,2016-02-18 03:42:46,2.36,11.0,10011,10002
2016-02-05 08:22:17,2016-02-05 08:40:51,2.7,13.5,10162,10171
2016-02-06 21:14:45,2016-02-06 21:22:42,0.85,6.5,10017,10171
2016-02-01 14:16:24,2016-02-01 14:52:02,6.4,26.5,10001,11215
2016-02-28 14:00:54,2016-02-28 14:06:03,1.22,6.0,10014,10199
2016-02-26 09:00:39,2016-02-26 09:15:50,2.09,11.5,10017,10011
2016-02-22 16:49:29,2016-02-22 17:07:44,7.2,22.0,11371,11109
2016-02-27 16:29:45,2016-02-27 16:43:35,1.85,10.5,10012,10001
2016-02-09 09:49:53,2016-02-09 09:56:18,0.79,6.0,10021,10029
2016-02-29 10:58:46,2016-02-29 11:26:37,1.91,17.0,10065,10001
2016-02-07 22:22:31,2016-02-07 22:24:51,0.6,4.0,10011,10011
2016-02-11 09:06:14,2016-02-11 09:09:34,0.57,4.5,10282,10013
